player_id,name,country,club,league,games_played,games_started,minutes_played,minutes_per_90,goals,assists,non_penalty_goals,penalty_goals,penalty_attempted,yellow_cards,red_card,goals_per_90,assits_per_90,non_penalty_goals_per_90,DF,FW,GK,MF
1,Brenden Aaronson,USA,Leeds United,Premier League,14.0,14.0,1189.0,13.2,1.0,2.0,1.0,0.0,0.0,2.0,0.0,0.08,0.15,0.23,0,1,0,1
2,Yunis Abdelhamid,MAR,Reims,Ligue 1,15.0,15.0,1350.0,15.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0
3,Himad Abdelli,FRA,Angers,Ligue 1,7.0,2.0,231.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,1
4,Salis Abdul Samed,GHA,Lens,Ligue 1,15.0,15.0,1349.0,15.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,0,0,0,1
5,Laurent Abergel,FRA,Lorient,Ligue 1,10.0,10.0,807.0,9.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.11,0.11,0,0,0,1
6,Matthis Abline,FRA,Rennes,Ligue 1,10.0,0.0,105.0,1.2,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.86,0.0,0.86,0,1,0,1
7,Zakaria Aboukhlal,MAR,Toulouse,Ligue 1,15.0,14.0,1170.0,13.0,3.0,3.0,3.0,0.0,0.0,2.0,0.0,0.23,0.23,0.46,0,1,0,1
8,Tammy Abraham,ENG,Roma,Serie A,15.0,12.0,1041.0,11.6,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.26,0.09,0.35,0,1,0,0
9,Francesco Acerbi,ITA,Inter,Serie A,9.0,7.0,660.0,7.3,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.14,0.14,1,0,0,0
10,Mohamed Achi,FRA,Nantes,Ligue 1,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0
11,Marcos Acuña,ARG,Sevilla,La Liga,10.0,7.0,551.0,6.1,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1,0,0,0
12,Che Adams,SCO,Southampton,Premier League,14.0,12.0,1066.0,11.8,4.0,1.0,4.0,0.0,0.0,0.0,0.0,0.34,0.08,0.42,0,1,0,0
13,Tyler Adams,USA,Leeds United,Premier League,13.0,13.0,1166.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0,0,0,1
14,Sargis Adamyan,ARM,Köln,Bundesliga,14.0,3.0,434.0,4.8,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.21,0.21,0.41,0,1,0,1
15,Tosin Adarabioyo,ENG,Fulham,Premier League,10.0,10.0,900.0,10.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,1,0,0,0
16,Martin Adeline,FRA,Reims,Ligue 1,4.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1
17,Karim Adeyemi,GER,Dortmund,Bundesliga,11.0,7.0,489.0,5.4,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,1,0,1
18,Amine Adli,FRA,Leverkusen,Bundesliga,8.0,3.0,355.0,3.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0,1,0,0
19,Yacine Adli,FRA,Milan,Serie A,4.0,1.0,116.0,1.3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1
20,Michel Aebischer,SUI,Bologna,Serie A,13.0,7.0,625.0,6.9,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.14,0.0,0.14,0,1,0,1
21,Felix Afena-Gyan,GHA,Cremonese,Serie A,7.0,2.0,220.0,2.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,1
22,Emmanuel Agbadou,CIV,Reims,Ligue 1,12.0,11.0,969.0,10.8,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1,0,0,0
23,Lucien Agoume,FRA,Troyes,Ligue 1,3.0,2.0,106.0,1.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1
24,Felix Agu,GER,Werder Bremen,Bundesliga,3.0,0.0,49.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0
25,Álvaro Aguado,ESP,Valladolid,La Liga,13.0,8.0,747.0,8.3,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.24,0.24,0,0,0,1
26,Kevin Agudelo,COL,Spezia,Serie A,15.0,11.0,977.0,10.9,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1
27,Nayef Aguerd,MAR,West Ham,Premier League,1.0,0.0,76.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
28,Ruben Aguilar,FRA,Monaco,Ligue 1,7.0,4.0,327.0,3.6,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0
29,Naouirou Ahamada,FRA,Stuttgart,Bundesliga,15.0,15.0,1231.0,13.7,2.0,0.0,2.0,0.0,0.0,2.0,0.0,0.15,0.0,0.15,0,0,0,1
30,Jean-Eudes Aholou,CIV,Strasbourg,Ligue 1,12.0,7.0,590.0,6.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1
31,Joseph Aidoo,GHA,Celta Vigo,La Liga,14.0,14.0,1260.0,14.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.07,0.0,0.07,1,0,0,0
32,Ola Aina,NGA,Torino,Serie A,10.0,7.0,580.0,6.4,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.16,0.0,0.16,1,0,0,0
33,Rayan Aït Nouri,FRA,Wolves,Premier League,10.0,7.0,666.0,7.4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0
34,Emanuel Aiwum,AUT,Cremonese,Serie A,13.0,11.0,967.0,10.7,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1,0,0,0
35,Kristoffer Ajer,NOR,Brentford,Premier League,6.0,6.0,502.0,5.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
36,Ludovic Ajorque,REU,Strasbourg,Ligue 1,10.0,6.0,508.0,5.6,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.18,0.0,0.18,0,1,0,1
37,Manuel Akanji,SUI,Manchester City,Premier League,8.0,8.0,701.0,7.8,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.13,0.13,1,0,0,0
38,Nathan Aké,NED,Manchester City,Premier League,8.0,7.0,571.0,6.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0
39,Sergio Akieme,ESP,Almería,La Liga,14.0,14.0,1260.0,14.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,0,0,0
40,Maghnes Akliouche,FRA,Monaco,Ligue 1,6.0,3.0,248.0,2.8,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1,0,0,1
41,Paul Akouokou,CIV,Betis,La Liga,6.0,2.0,238.0,2.6,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1
42,Jean-Daniel Akpa-Akpro,CIV,Empoli,Serie A,6.0,1.0,204.0,2.3,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0,0,1
43,Kevin Akpoguma,NGA,Hoffenheim,Bundesliga,13.0,8.0,836.0,9.3,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0
44,David Alaba,AUT,Real Madrid,La Liga,14.0,13.0,1165.0,12.9,1.0,3.0,1.0,0.0,0.0,3.0,0.0,0.08,0.23,0.31,1,0,0,0
45,Tomás Alarcón,CHI,Cádiz,La Liga,4.0,2.0,223.0,2.5,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0,0,0,1
46,Lucas Alario,ARG,Eint Frankfurt,Bundesliga,10.0,2.0,239.0,2.7,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.38,0.0,0.38,0,1,0,0
47,Jordi Alba,ESP,Barcelona,La Liga,10.0,7.0,682.0,7.6,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.13,0.13,1,0,0,0
48,Luis Alberto,ESP,Lazio,Serie A,13.0,5.0,545.0,6.1,3.0,1.0,3.0,0.0,0.0,1.0,0.0,0.5,0.17,0.66,0,0,0,1
49,Raúl Albiol,ESP,Villarreal,La Liga,13.0,13.0,1159.0,12.9,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1,0,0,0
50,Marc Albrighton,ENG,Leicester City,Premier League,3.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
51,Thiago Alcántara,ESP,Liverpool,Premier League,8.0,8.0,644.0,7.2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,0,0,1
52,Rubén Alcaraz,ESP,Cádiz,La Liga,10.0,5.0,513.0,5.7,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0,0,0,1
53,Omar Alderete,PAR,Getafe,La Liga,2.0,1.0,135.0,1.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1,0,0,0
54,Iván Alejo,ESP,Cádiz,La Liga,12.0,8.0,657.0,7.3,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.14,0.14,0,1,0,1
55,Doğan Alemdar,TUR,Rennes,Ligue 1,3.0,2.0,225.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1,0
56,Carles Aleñá,ESP,Getafe,La Liga,13.0,13.0,1022.0,11.4,2.0,2.0,2.0,0.0,0.0,6.0,0.0,0.18,0.18,0.35,0,0,0,1
57,Trent Alexander-Arnold,ENG,Liverpool,Premier League,14.0,12.0,989.0,11.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.09,0.0,0.09,1,0,0,0
58,Alejandro Alfaro,ESP,Elche,La Liga,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1
59,Ángel Algobia,ESP,Getafe,La Liga,8.0,4.0,362.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,0,0,1
60,Mohamed Ali Cho,FRA,Real Sociedad,La Liga,7.0,2.0,243.0,2.7,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.74,0.74,0,1,0,0
